线路序号,颜色,PANTONE,HEX,RGB
1号线/八通线,,1807 C,#A4343A,"rgb(164, 52, 38)"
2号线,,301 C,#004B87,"rgb(0, 75, 135)"
4号线/大兴线,,321 C,#008C95,"rgb(0, 140, 149)"
5号线,,227 C,#AA0061,"rgb(170, 0, 97)"
6号线,,125 C,#B58500,"rgb(181, 133, 0)"
7号线,,1355 C,#FFC56E,"rgb(255, 197, 110)"
8号线,,3278 C,#009B77,"rgb(0, 155, 119)"
9号线,,375 C,#97D700,"rgb(151, 215, 0)"
10号线,,313 C,#0092BC,"rgb(0, 146, 188)"
13号线,,7404 C,#F4DA40,"rgb(244, 218, 64)"
14号线,,7612 C,#CA9A8E,"rgb(202, 154, 142)"
15号线,,7664 C,#653279,"rgb(101, 50, 121)"
16号线,,7737 C,#6BA539,"rgb(107, 165, 57)"
昌平线,,673 C,#D986BA,"rgb(217, 134, 186)"
房山线/燕房线,,1595 C,#D86018,"rgb(216, 96, 24)"
机场线,,666 C,#A192B2,"rgb(161, 146, 178)"
西郊线,,1795 C,#D22630,"rgb(210, 38, 48)"
亦庄线,,226 C,#D0006F,"rgb(208, 0, 111)"
S1 线,,470 C,#A45A2A,"rgb(164, 90, 42)"
