"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。","北京地铁1号线（八通线）
[古城] - [环球度假区]
共[35]站","北京地铁2号线内环
[积水潭] - [西直门]
共[18]站","北京地铁2号线外环
[西直门] - [积水潭]
共[18]站","北京地铁4号线
[安河桥北] - [天宫院]
共[35]站","北京地铁5号线
[宋家庄] - [天通苑北]
共[23]站","北京地铁6号线
[金安桥] - [潞城]
共[33]站","北京地铁7号线
[北京西站] - [环球度假区]
共[30]站","北京地铁8号线
[朱辛庄] - [瀛海]
共[34]站","北京地铁9号线
[郭公庄] - [国家图书馆]
共[13]站","北京地铁10号线外环
[车道沟] - [长春桥]
共[45]站","北京地铁10号线内环
[巴沟] - [火器营]
共[45]站","北京地铁11号线
[金安桥] - [新首钢]
共[3]站","北京地铁13号线
[西直门] - [东直门]
共[17]站","北京地铁14号线
[张郭庄] - [善各庄]
共[33]站","北京地铁15号线
[俸伯] - [清华东路西口]
共[20]站","北京地铁16号线
[榆树庄] - [北安河]
共[28]站","北京地铁17号线
[十里河] - [嘉会湖]
共[7]站","北京地铁19号线
[牡丹园] - [新宫]
共[6]站","北京地铁S1号线
[苹果园] - [石厂]
共[8]站","北京地铁S2号线主线
[沙城] - [黄土店]
共[5]站","北京地铁S2号线支线
[延庆] - [黄土店]
共[4]站","北京地铁昌平线
[昌平西山口] - [西土城]
共[19]站","北京地铁大兴机场线
[草桥] - [大兴机场]
共[3]站","北京地铁房山线
[阎村东] - [东管头南]
共[16]站","北京地铁首都机场线
[北新桥] - [T2航站楼]
共[5]站","北京地铁西郊线
[香山] - [巴沟]
共[6]站","北京地铁燕房线
[阎村东] - [燕山]
共[9]站","北京地铁亦庄T1线
[定海园] - [屈庄（奔驰南）]
共[14]站","北京地铁亦庄线
[宋家庄] - [亦庄火车站]
共[14]站","北京地铁3号线 (未开通)
[田村] - [朝阳公园]
共[12]站","北京地铁12号线 (未开通)
[田村] - [三元桥]
共[10]站","北京地铁22号线 (未开通)
[东大桥] - [通州北关]
共[4]站","北京地铁28号线 (未开通)
[东直门] - [广渠东路]
共[11]站","北京地铁M101线 (未开通)
[商务园] - [张家湾东]
共[13]站"
+,古城,积水潭,西直门,安河桥北,宋家庄,金安桥,北京西站,朱辛庄,郭公庄,车道沟,巴沟,金安桥,西直门,张郭庄,俸伯,榆树庄,十里河,牡丹园,苹果园,沙城,延庆,昌平西山口,草桥,阎村东,北新桥,香山,阎村东,定海园,宋家庄,田村,田村,东大桥,东直门,商务园
-,八角游乐园,鼓楼大街,车公庄,北宫门,刘家窑,苹果园,湾子,育知路,丰台科技园,慈寿寺,苏州街,北辛安,大钟寺,园博园,顺义,看丹,周家庄,积水潭,金安桥,康庄,八达岭,十三陵景区,大兴新城,苏庄,东直门,植物园,紫草坞,定海园西,肖村,西钓鱼台,长春桥,金台夕照,工体西路,通州西站
,八宝山,安定门,阜成门,西苑,蒲黄榆,杨庄,达官营,平西府,科怡路,西钓鱼台,海淀黄庄,新首钢,知春路,大瓦窑,石门,富丰桥,十八里店,牛街,四道桥,八达岭,南口,昌平,大兴机场,良乡南关,三元桥,万安,阎村东,经海一路（京东方）,小红门,白堆子,苏州桥,管庄,东大桥,通顺路
,玉泉路,雍和宫,复兴门,圆明园,天坛东门,西黄村,广安门内,回龙观东大街,丰台南路,公主坟,知春里,,五道口,郭庄子,南法信,丰台南路,北神树,草桥,桥户营,南口,黄土店,昌平东关,,良乡大学城西,T3航站楼,茶棚,星城,亦创会展中心,旧宫,甘家口,人民大学,通州北关,金台夕照,会议中心
,五棵松,东直门,长椿街,北京大学东门,磁器口,廖公庄,菜市口,霍营,丰台东大街,莲花桥,知春路,,上地,大井,后沙峪,丰台站,次渠北,新发地,上岸,黄土店,,北邵洼,,良乡大学城西,T2航站楼,颐和园西门,大石河东,荣昌东街（T1）,亦庄桥,阜成门,大钟寺,,光华路,龙旺庄
,万寿路,东四十条,宣武门,中关村,崇文门,田村,虎坊桥,育新,七里庄,六里桥,西土城,,清河站,七里庄,花梨坎,东管头南,次渠北,新宫,栗园庄,,,南邵,,良乡大学城北,,巴沟,马各庄,亦庄同仁,亦庄文化园,平安里,北太平庄,,核心区,通胡大街
,公主坟,朝阳门,和平门,海淀黄庄,东单,海淀五路居,珠市口,西小口,六里桥,西局,牡丹园,,西二旗,西局,国展,丽泽商务区,嘉会湖,,小园,,,沙河高教园,,广阳城,,,饶乐府,鹿圈东,万源街,南锣鼓巷,安华桥,,大望路,玉带河大街
,军事博物馆,建国门,前门,人民大学,灯市口,慈寿寺,桥湾,永泰庄,六里桥东,泥洼,健德门,,龙泽,东管头,孙河,红莲南路,,,石厂,,,沙河,,篱笆房,,,房山城关,泰河路,荣京东街,张自忠路,和平西桥,,北京东站,城市副中心
,木樨地,北京站,崇文门,魏公村,东四,花园桥,磁器口,林萃桥,北京西站,丰台站,北土城,,回龙观,丽泽商务区,马泉营,达官营,,,,,,巩华城,,长阳,,,燕山,九号村（奔驰北）,荣昌东街,东四十条,光熙门,,大郊亭,行政西区
,南礼士路,崇文门,北京站,国家图书馆,张自忠路,白石桥南,广渠门内,森林公园南门,军事博物馆,首经贸,安贞门,,霍营,菜户营,崔各庄,木樨地,,,,,,朱辛庄,,稻田,,,,四海庄,同济南路,工人体育场,三元桥,,广渠路,北京大剧院
,复兴门,前门,建国门,动物园,北新桥,车公庄西,广渠门外,奥林匹克公园,白堆子,纪家庙,惠新西街南口,,立水桥,西铁营,望京东,玉渊潭东门,,,,,,生命科学园,,大葆台,,,,太和桥北,经海路,团结湖,,,广渠东路,张家湾西
,西单,和平门,朝阳门,西直门,雍和宫,车公庄,双井,奥体中心,白石桥南,草桥,芍药居,,北苑,景风门,望京西,甘家口,,,,,,西二旗,,郭公庄,,,,瑞合庄,次渠南,朝阳公园,,,,张家湾西
,天安门西,宣武门,东四十条,新街口,和平里北街,平安里,九龙山,北土城,国家图书馆,角门西,太阳宫,,望京西,北京南站,望京西,二里沟,,,,,,清河站,,白盆窑,,,,融兴街,次渠,,,,,张家湾东
,天安门东,长椿街,东直门,平安里,和平西桥,北海北,大郊亭,安华桥,,角门东,三元桥,,芍药居,永定门外,关庄,国家图书馆,,,,,,朱房北,,花乡东桥,,,,屈庄（奔驰南）,亦庄火车站,,,,,
,王府井,复兴门,雍和宫,西四,惠新西街南口,南锣鼓巷,百子湾,安德里北街,,大红门,亮马桥,,光熙门,景泰,大屯路东,万寿寺,,,,,,清河小营桥,,首经贸,,,,,,,,,,
